Content,Science
"He's gone, and all our plans
 Are useless indeed.
We'll walk no more on Cotswold
 Where the sheep feed
 Quietly and take no heed.
 
His body that was so quick
 Is not as you
Knew it, on Severn river
 Under the blue
 Driving our small boat through.
 
You would not know him now ...
 But still he died
Nobly, so cover him over
 With violets of pride
 Purple from Severn side.
 
Cover him, cover him soon!
 And with thick-set
Masses of memoried flowers
 Hide that red wet
 Thing I must somehow forget.",0
"Now, youth, the hour of thy dread passion comes;
Thy lovely things must all be laid away;
And thou, as others, must face the riven day
Unstirred by rattle of the rolling drums,
Or bugles' strident cry. When mere noise numbs
The sense of being, the sick soul doth sway,
Remember thy great craft's honour, that they may say
Nothing in shame of poets. Then the crumbs
Of praise the little versemen joyed to take
Shall be forgotten; then they must know we are,
For all our skill in words, equal in might
And strong of mettle as those we honoured; make
The name of poet terrible in just war,
And like a crown of honour upon the fight.",0
"When I remember plain heroic strength
And shining virtue shown by Ypres pools,
Then read the blither written by knaves for fools
In praise of English soldiers lying at length,
Who purely dream what England shall be made
Gloriously new, free of the old stains
By us, who pay the price that must be paid,
Will freeze all winter over Ypres plains.
Our silly dreams of peace you put aside
And brotherhood of man, for you will see
An armed mistress, braggart of the tide,
Her children slaves, under your mastery.
We'll have a word there too, and forge a knife,
Will cut the cancer threatens England's life.",0
"So in Pieria, from the wedded bliss
Of Time and Memory, the Muses came
To be the means of rich oblivion,
And rest from cares. And when the Thunderer
Took heaven, then the Titans warred on him
For pity of mankind. But the great law,
Which is the law of music, not of bread,
Set Atlas for a pillar, manacled
His brother to the rocks of the Scythia,
And under Aetna fixed the furious Typhon.
So should thought rule, not force. And Amphion,
Pursuing justice, entered Thebes and slew
His mother's spouse; but when he would make sure
And fortify the city, then he took
The lyre that Hermes gave, and played, and watched
The stones move and assemble, till a wall
Engirded Thebes and kept the citadel
Beyond the reach of arrows and of fire.
What other power but harmony can build
A city, and what gift so magical
As that by which a city lifts its walls?
So men, in years to come, shall feel the power
Of this man moving through the high-ranged thought
Which plans for beauty, builds for larger life.
The stones shall rise in towers to answer him.",0
"My bands of silk and miniver
Momently grew heavier;
The black gauze was beggarly thin;
The ermine muffled mouth and chin;
I could not suck the moonlight in.

Harlequin in lozenges
Of love and hate, I walked in these
Striped and ragged rigmaroles;
Along the pavement my footsoles
Trod warily on living coals.

Shouldering the thoughts I loathed,
In their corrupt disguises clothed,
Morality I could not tear
From my ribs, to leave them bare
Ivory in silver air.

There I walked, and there I raged;
The spiritual savage caged
Within my skeleton, raged afresh
To feel, behind a carnal mesh,
The clean bones crying in the flesh.",0
"
Behoild Pelides with his yellow hair,
Proud child of Thetis, hero loved of Jove;
Above the frowning of his brows of wove
A crown of gold, well combed, with Spartan care.
Who might have seen him, sullen, great, and fair,
As with the wrongful world he proudly strove,
And by high deeds his wilder passion shrove,
Mastering love, resentment, and despair.
He knew his end, and Phoebus arrow sure
He braved for fame immortal and a friend,
Despising life; and we, who know our end,
Know that in our decay he shall endure
And all our childrens hearts to grief inure,
With whose first bitter battles his shall blend.

Who brought thee forth, immortal vision, who
In Phthia or in Tempe brought thee forth?
Out of the sunlight and the sapful earth
What god the simples of thy spirit drew?
A goddess rose from the green waves, and threw
Her arms about a king, to give thee birth;
A centaur, patron of thy boyish mirth,
Over the meadows in thy footsteps flew.
Now Thessaly forgets thee, and the deep
Thy keeled bark furrowed answers not thy prayer;
But far away new generations keep
Thy laurels fresh; where branching Isis hems
The lawns of Oxford round about, or where
Enchanted Eton sits by pleasant Thames.

I gaze on thee as Phidias of old
Or Polyclitus gazed, when first he saw
These hard and shining limbs, without a flaw,
And cast his wonder in heroic mould.
Unhappy me who only may behold,
Nor make immutable and fix in awe
A fair immortal form no worm shall gnaw,
A tempered mind whose faith was never told!
The godlike mien, the lions lock and eye,
The well-knit sinew, utter a brave heart
Better than many words that part by part
Spell in strange symbols what serene and whole
In nature lives, nor can in marble die.
The perfect body itself the soul.",0
"I had come to the house, in a cave of trees,
Facing a sheer sky.
Everything moved,a bell hung ready to strike,
Sun and reflection wheeled by.

When the bare eyes were before me
And the hissing hair,
Held up at a window, seen through a door.
The stiff bald eyes, the serpents on the forehead
Formed in the air.

This is a dead scene forever now.
Nothing will ever stir.
The end will never brighten it more than this,
Nor the rain blur.

The water will always fall, and will not fall,
And the tipped bell make no sound.
The grass will always be growing for hay
Deep on the ground.

And I shall stand here like a shadow
Under the great balanced day,
My eyes on the yellow dust, that was lifting in the wind,
And does not drift away.",0
"There may be chaos still around the world,
This little world that in my thinking lies;
For mine own bosom is the paradise
Where all my lifes fair visions are unfurled.
Within my natures shell I slumber curled,
Unmindful of the changing outer skies,
Where now, perchance, some new-born Eros flies,
Or some old Cronos from his throne is hurled.
I heed them not; or if the subtle night
Haunt me with deities I never saw,
I soon mine eyelids drowsy curtain draw
To hide their myriad faces from my sight.
They threat in vain; the whirlwind cannot awe
A happy snow-flake dancing in the flaw.",0
"
Another's a half-cracked fellow John Heydon,
Worker of miracles, dealer in levitation,
In thoughts upon pure form, in alchemy,
Seer of pretty visions (""servant of God and secretary of nature""); 
Full of plaintive charm, like Botticelli's,
With half-transparent forms, lacking the vigor of gods.
Thus Heydon, in a trance, at Bulverton,
Had such a sight:
Decked all in green, with sleeves of yellow silk
Slit to the elbow, slashed with various purples.
Her eyes were green as glass, her foot was leaf-like.
She was adorned with choicest emeralds,
And promised him the way of holy wisdom.
""Pretty green bank,"" began the half-lost poem.
Take the old way, say I met John Heydon, 
Sought out the place,
Lay on the bank, was ""plunged deep in swevyn;""
And saw the companyLayamon, Chaucer
Pass each in his appropriate robes;
Conversed with each, observed the varying fashion.
And then comes Heydon.
 ""I have seen John Heydon.""
Let us hear John Heydon!
 ""Omniformis
Omnis intellectus est""thus he begins, by spouting half of Psellus.
(Then comes a note, my assiduous commentator:
Not Psellus De Daemonibus, but Porphyry's Chances,
In the thirteenth chapter, that ""every intellect is omni-form."")
Magnifico Lorenzo used the dodge,
Says that he met Ficino
In some Wordsworthian, false-pastoral manner,
And that they walked along, stopped at a well-head,
And heard deep platitudes about contentment
From some old codger with an endless beard.
""A daemon is not a particular intellect,
But is a substance differed from intellect,""
Breaks in Ficino,
""Placed in the latitude or locus of souls""
That's out of Proclus, take your pick of them.
Valla, more earth and sounder rhetoric
Prefacing praise to his Pope Nicholas:
""A man of parts, skilled in the subtlest sciences;
A patron of the arts, of poetry; and of a fine discernment.""
Then comes a catalogue, his jewels of conversation.
No, you've not read your Elegantiae
A dull book?shook the church.
The prefaces, cut clear and hard:
""Know then the Roman speech, a sacrament,""
Spread for the nations, eucharist of wisdom,
Bread of the liberal arts.
 Ha! Sir Blancatz,
Sordello would have your heart to give to all the princes;
Valla, the heart of Rome,
Sustaining speech, set out before the people.
""Nec bonus Christianus ac bonus
 Tullianus.""
Marius, Du Bellay, wept for the buildings,
Baldassar Castiglione saw Raphael
""Lead back the soul into its dead, waste dwelling,""
Corpore laniato; and Lorenzo Valla,
""Broken in middle life? bent to submission?
Took a fat living from the Papacy""
(That's in Villari, but Burckhardt's statement is different)
""More than the Roman city, the Roman speech""
(Holds fast its part among the ever-living).
""Not by the eagles only was Rome measured.""
""Wherever the Roman speech was, there was Rome,""
Wherever the speech crept, there was mastery
Spoke with the law's voice while your Greek, logicians...
More Greeks than one! Doughty's ""divine Homeros""
Came before sophistry. Justinopolitan
Uncatalogued Andreas Divus,
Gave him in Latin, 1538 in my edition, the rest uncertain,
Caught up his cadence, word and syllable:
""Down to the ships we went, set mast and sail,
Black keel and beasts for bloody sacrifice,
Weeping we went.""
I've strained my ear for -ensa, -ombra, and -ensa
And cracked my wit on delicate canzoni
 Here's but rough meaning:

""And then went down to the ship, set keel to breakers,
Forth on the godly sea;
We set up mast and sail on the swarthy ship,
Sheep bore we aboard her, and our bodies also
Heavy with weeping. And winds from sternward
Bore us out onward with bellying canvas
Circe's this craft, the trim-coifed goddess.
Then sat we amidships, wind jamming the tiller.
Thus with stretched sail
 We went over sea till day's end:
Sun to his slumber, shadows o'er all the ocean.
Came we then to the bounds of deepest water,
To the Kimmerian lands and peopled cities
Covered with close-webbed mist, unpierced ever
With glitter of sun-rays,
Nor with stars stretched, nor looking back from heaven,
Swartest night stretched over wretched men there.
Thither we in that ship, unladed sheep there,
The ocean flowing backward, came we through to the place
Aforesaid by Circe.
Here did they rites, Perimedes and Eurylochus,
And drawing sword from my hip
I dug the ell-square pitkin, poured we libations unto each the dead, 
First mead and then sweet wine,
Water mixed with white flour.
Then prayed I many a prayer to the sickly death's-heads
As set in Ithaca, sterile bulls of the best,
For sacrifice, heaping the pyre with goods.
Sheep, to Tiresias only,
Black, and a bell sheep;
Dark blood flowed in the fosse.
Souls out of Erebus, cadaverous dead
Of brides, of youths, and of many passing old,
Virgins tender, souls stained with recent tears,
Many men mauled with bronze lance-heads,
Battle spoil, bearing yet dreary arms:
These many crowded about me,
With shouting, pallor upon me, cried to my men for more beasts;
Slaughtered the herdssheep slain of bronze,
Poured ointment, cried to the gods,
To Pluto the strong, and praised Proserpine.
Unsheathed the narrow steel,
I sat to keep off the impetuous, impotent dead
Till I should hear Tiresias.
But first Elpenor came, our friend Elpenor,
Unburied, cast on the wide earth
Limbs that we left in the house of Circe,
Unwept, unwrapped in sepulchre, since toils urged other,
Pitiful spiritand I cried in hurried speech:
'Elpenor, how art thou come to this dark coast?
Cam'st thou afoot, outstripping seamen?' And he in heavy speech:
'Ill fate and abundant wine! I slept in Circe's ingle,
Going down the long ladder unguarded, I fell against the buttress,
Shattered the nape-nerve, the soul sought Avernus.
But thou, O King, I bid remember me, unwept, unburied!
Heap up mine arms, be tomb by the sea-board, and inscribed,
A man of no fortune and with a name to come;
And set my oar up, that I swung 'mid fellows.'
Came then another ghost, whom I beat off, Anticlea,
And then Tiresias, Theban,
Holding his golden wand, knew me and spoke first:
'Man of ill hour, why come a second time,
Leaving the sunlight, facing the sunless dead and this joyless region?
Stand from the fosse, move back, leave me my bloody bever,
And I will speak you true speeches.'
 ""And I stepped back,
Sheathing the yellow sword. Dark blood he drank then
And spoke: 'Lustrous Odysseus, shalt
Return through spiteful Neptune, over dark seas,
Lose all companions.' Foretold me the ways and the signs.
Came then Anticlea, to whom I answered:
'Fate drives me on through these deeps; I sought Tiresias.'
I told her news of Troy, and thrice her shadow
Faded in my embrace.
Then had I news of many faded women
Tyro, Alcmena, Chloris
Heard out their tales by that dark fosse, and sailed
By sirens and thence outward and away,
And unto Circe buried Elpenor's corpse.""

Lie quiet, Divus.
 In Officina Wechli, Paris,
M. D. three X's, Eight, with Aldus on the Frogs,
And a certain Cretan's 
 Hymni Deorum:
(The thin clear Tuscan stuff
 Gives way before the florid mellow phrase.)
Take we the Goddess, Venus:
 Venerandam,
Aurean coronam habentem, pulchram,
Cypri munimenta sortita est, maritime,
Light on the foam, breathed on by zephyrs,
And air-tending hours. Mirthful, orichalci, with golden
Girdles and breast bands.
 Thou with dark eye-lids, 
Bearing the golden bough of Argicida.",0
"My love looks like a girl to-night,
 But she is old.
The plaits that lie along her pillow
 Are not gold,
But threaded with filigree silver,
 And uncanny cold.

She looks like a young maiden, since her brow
 Is smooth and fair,
Her cheeks are very smooth, her eyes are closed.
 She sleeps a rare
Still winsome sleep, so still, and so composed.

Nay, but she sleeps like a bride, and dreams her dreams
 Of perfect things.
She lies at last, the darling, in the shape of her dream,
 And her dead mouth sings
By its shape, like the thrushes in clear evenings.",0
"
The mind has shown itself at times
Too much the baked and labeled dough
Divided by accepted multitudes.
Across the stacked partitions of the day
Across the memoranda, baseball scores,
The stenographic smiles and stock quotations
Smutty wings flash out equivocations.

The mind is brushed by sparrow wings;
Numbers, rebuffed by asphalt, crowd
The margins of the day, accent the curbs,
Convoying divers dawns on every corner
To druggist, barber and tobacconist,
Until the graduate opacities of evening
Take them away as suddenly to somewhere
Virginal perhaps, less fragmentary, cool.

 There is the world dimensional for
 those untwisted by the love of things
 irreconcilable ...

And yet, suppose some evening I forgot
The fare and transfer, yet got by that way
Without recall,lost yet poised in traffic.
Then I might find your eyes across an aisle,
Still flickering with those prefigurations
Prodigal, yet uncontested now,
Half-riant before the jerky window frame.

There is some way, I think, to touch
Those hands of yours that count the nights
Stippled with pink and green advertisements.
And now, before its arteries turn dark
I would have you meet this bartered blood.
Imminent in his dream, none better knows
The white wafer cheek of love, or offers words
Lightly as moonlight on the eaves meets snow.

Reflective conversion of all things
At your deep blush, when ecstasies thread
The limbs and belly, when rainbows spread
Impinging on the throat and sides ... 
Inevitable, the body of the world
Weeps in inventive dust for the hiatus
That winks above it, bluet in your breasts.

The earth may glide diaphanous to death;
But if I lift my arms it is to bend
To you who turned away once, Helen, knowing
The press of troubled hands, too alternate
With steel and soil to hold you endlessly.
I meet you, therefore, in that eventual flame
You found in final chains, no captive then
Beyond their million brittle, bloodshot eyes;
White, through white cities passed on to assume
That world which comes to each of us alone.
Accept a lone eye riveted to your plane,
Bent axle of devotion along companion ways
That beat, continuous, to hourless days
One inconspicuous, glowing orb of praise.
Brazen hypnotics glitter here;
Glee shifts from foot to foot,
Magnetic to their tremulo.
This crashing opera bouffe,
Blest excursion! this ricochet
From roof to roof
Know, Olympians, we are breathless
While nigger cupids scour the stars!

A thousand light shrugs balance us
Through snarling hails of melody.
White shadows slip across the floor
Splayed like cards from a loose hand;
Rhythmic ellipses lead into canters
Until somewhere a rooster banters.

Greet naivelyyet intrepidly
New soothings, new amazements
That cornets introduce at every turn
And you may fall downstairs with me
With perfect grace and equanimity.
Or, plaintively scud past shores
Where, by strange harmonic laws
All relatives, serene and cool,
Sit rocked in patent armchairs.

O,I have known metallic paradises
Where cuckoos clucked to finches
Above the deft catastrophes of drums.
While titters hailed the groans of death
Beneath gyrating awnings I have seen
The incunabula of the divine grotesque.
This music has a reassuring way.

The siren of the springs of guilty song
Let us take her on the incandescent wax
Striated with nuances, nervosities
That we are heir to: she is still so young,
We cannot frown upon her as she smiles,
Dipping here in this cultivated storm
Among slim skaters of the gardened skies.

Capped arbiter of beauty in this street
That narrows darkly into motor dawn,
You, here beside me, delicate ambassador
Of intricate slain numbers that arise
In whispers, naked of steel;
 religious gunman!
Who faithfully, yourself, will fall too soon,
And in other ways than as the wind settles
On the sixteen thrifty bridges of the city:
Let us unbind our throats of fear and pity.

 We even,
Who drove speediest destruction
In corymbulous formations of mechanics,
Who hurried the hill breezes, spouting malice
Plangent over meadows, and looked down
On rifts of torn and empty houses
Like old women with teeth unjubilant
That waited faintly, briefly and in vain:

We know, eternal gunman, our flesh remembers
The tensile boughs, the nimble blue plateaus,
The mounted, yielding cities of the air!

That saddled sky that shook down vertical
Repeated play of fireno hypogeum
Of wave or rock was good against one hour.
We did not ask for that, but have survived,
And will persist to speak again before
All stubble streets that have not curved
To memory, or known the ominous lifted arm
That lowers down the arc of Helens brow
To saturate with blessing and dismay.

A goose, tobacco and cologne
Three winged and gold-shod prophecies of heaven,
The lavish heart shall always have to leaven
And spread with bells and voices, and atone
The abating shadows of our conscript dust.

Anchises navel, dripping of the sea,
The hands Erasmus dipped in gleaming tides,
Gathered the voltage of blown blood and vine;
Delve upward for the new and scattered wine,
O brother-thief of time, that we recall.
Laugh out the meager penance of their days
Who dare not share with us the breath released,
The substance drilled and spent beyond repair
For golden, or the shadow of gold hair.

Distinctly praise the years, whose volatile
Blamed bleeding hands extend and thresh the height
The imagination spans beyond despair,
Outpacing bargain, vocable and prayer.",0
"in Just-
spring when the world is mud-
luscious the little
lame balloonman

whistles far and wee

and eddieandbill come
running from marbles and
piracies and it's
spring

when the world is puddle-wonderful

the queer
old balloonman whistles
far and wee
and bettyandisbel come dancing

from hop-scotch and jump-rope and

it's
spring
and

 the

 goat-footed

balloonMan whistles
far
and
wee",0
"We passed old farmer Boothby in the field.
Rugged and straight he stood; his body steeled
With stubbornness and age. We met his eyes
That never flinched or turned to compromise,
And Luck, he cried, good luck!and waved an arm,
Knotted and sailor-like, such as no farm
In all of Maine could boast of; and away
He turned again to pitch his new-cut hay...
We walked on leisurely until a bend
Showed him once more, now working toward the end
Of one great path; wearing his eighty years
Like banners lifted in a wind of cheers.

Then we turned off abruptlytook the road
Cutting the village, the one with the commanding
View of the river. And we strode
More briskly now to the long pier that showed
Where the frail boats were kept at Indian Landing.
In the canoe we stepped; our paddles dipped
Leisurely downwards, and the slim bark slipped
More on than in the water. Smoothly then
We shot its nose against the rippling current,
Feeling the rising rivers half-deterrent
Pull on the paddle as we turned the blade
To keep from swerving round; while we delayed
To watch the curious wave-eaten locks;
Or pass, with lazy turns, the picnic-rocks....
Blue eels flew under us, and fishes darted
A thousand ways; the once broad channel shrunk.
And over us the wise and noble-hearted
Twilight leaned down; the sunset mists were parted,
And we, with thoughts on tiptoe, slunk
Down the green, twisting alleys of the Kennebunk,

Motionless in the meadows
The trees, the rocks, the cows...
And quiet dripped from the shadows
Like rain from heavy boughs.

The tree-toads started ringing
Their ceaseless silver bells;
A land-locked breeze came swinging
Its censer of earthy smells.

The rivers tiny canon
Stretched into dusky lands;
Like a dark and silent companion
Evening held out her hands.

Hushed were the dawns bravados;
Loud noon was a silenced cry
And quiet slipped from the shadows
As stars slip out of the sky...

It must have been an hour more, or later,
When, tramping homeward through the piney wood,
We felt the years fly back; the brotherhood
Of forests took usand we saw the satyr!
There in a pool, up to his neck, he stood
And grinned to see us stare, incredulous
Too startled to remember fear or flight.
Feeling the menace in the crafty night,
We turned to runwhen lo, he called to us!
Using our very names he called. We drew
With creaking courage down the avenue
Of birches till we saw, with clearing sight,
(No longer through a tricky, pale-green light)
Familiar turns and shrubs, the friendly path,
And Farmer Boothby in his woodland bath!
The woods became his background; every tree
Seemed part of him, and stood erect, and shared
The beauty of that gnarled serenity;
The quiet vigor of age that smiled and squared
Its shoulders against Time ... And even night
Flowed in and out of him, as though content
With such a native element;
Happy to move about a spirit quite
As old, as placid and as confident...
Sideways we turned. Still glistening and unclad
He leaped up on the bank, light as a lad,
His body in the moonlight dripping stars...

We went on homeward, through the pasture-bars.",0
"Living, I had no might
To make you hear,
Now, in the inmost night,
I am so near
No whisper, falling light,
Divides us, dear.

Living, I had no claim
On your great hours.
Now the thin candle-flame,
The closing flowers,
Wed summer with my name, 
And these are ours.

Your shadow on the dust,
Strength, and a cry,
Delight, despair, mistrust, 
All these am I.
Dawn, and the far hills thrust
To a far sky.

Living, I had no skill
To stay your tread,
Now all that was my will
Silence has said.
We are one for good and ill
Since I am dead.",0
"Momus is the name men give your face,
The brag of its tone, like a long low steamboat whistle
Finding a way mid mist on a shoreland,
Where gray rocks let the salt water shatter spray Against horizons purple, silent.

Yes, Momus,
Men have flung your face in bronze
To gaze in gargoyle downward on a street-whirl of folk.
They were artists did this, shaped your sad mouth,
Gave you a tall forehead slanted with calm, broad wisdom;
All your lips to the corners and your cheeks to the high bones
Thrown over and through with a smile that forever wishes and wishes, purple, silent, fled from all the iron things of life, evaded like a sought bandit, gone into dreams, by God.

I wonder, Momus,
Whether shadows of the dead sit somewhere and look with deep laughter
On men who play in terrible earnest the old, known, solemn repetitions of history.
A droning monotone soft as sea laughter hovers from your kindliness of bronze,
You give me the human ease of a mountain peak, purple, silent;
Granite shoulders heaving above the earth curves,
Careless eye-witness of the spawning tides of men and women
Swarming always in a drift of millions to the dust of toil, the salt of tears,
And blood drops of undiminishing war.",0
